sweep_index,cohort_id,new_contig,new_focus_pstart,new_focus_pstop,overlapping_genes
99,UG-E_Tororo_gamb_2012_Q4,2R,28414093,28543302,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP002872 AGAP013202 AGAP002870 AGAP002869
100,BF-09_Houet_gamb_2014_Q3,2R,28414545,28509219,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP002870 AGAP002869
101,GN-F_Kissidougou_gamb_2012_Q4,2R,28417570,28524342,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP013202 AGAP002870 AGAP002869
102,GN-N_Macenta_gamb_2012_Q4,2R,28419475,28530938,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP013202 AGAP002870 AGAP002869
103,CM-ES_Haut-Nyong_gamb_2009_Q3,2R,28419970,28593753,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP002875 AGAP002877 AGAP002880 AGAP002879 AGAP002878 AGAP002876 AGAP013244 AGAP002872 AGAP013202 AGAP002870 AGAP002869 AGAP029190 AGAP002874
104,BF-09_Houet_gamb_2012_Q3,2R,28425625,28520448,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP013202 AGAP002870 AGAP002869
105,ML-2_Kangaba_gamb_2004_Q3,2R,28438715,28580777,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP002875 AGAP002877 AGAP002878 AGAP002876 AGAP013244 AGAP002872 AGAP013202 AGAP002870 AGAP002869 AGAP029190 AGAP002874
106,ML-3_Yanfolila_gamb_2012_Q4,2R,28457532,28580434,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP002875 AGAP002877 AGAP002878 AGAP002876 AGAP013244 AGAP002872 AGAP013202 AGAP002870 AGAP002869 AGAP029190 AGAP002874
107,CD-NU_Gbadolite_gamb_2015_Q3,2R,28480101,28598535,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP002875 AGAP002877 AGAP002880 AGAP002879 AGAP002878 AGAP002876 AGAP013244 AGAP002872 AGAP013202 AGAP002870 AGAP002869 AGAP029190 AGAP002874
108,ML-3_Yanfolila_gamb_2012_Q4,2R,34442123,34490601,AGAP003251 AGAP003252 AGAP013184 AGAP003250 AGAP003249 AGAP013487 AGAP003248 AGAP003247 AGAP003246 AGAP003254 AGAP003253 AGAP003245
109,GN-N_Macenta_gamb_2012_Q4,2R,34446859,34475660,AGAP003250 AGAP003249 AGAP013487 AGAP003248 AGAP003247 AGAP003246 AGAP003245
110,GN-F_Kissidougou_gamb_2012_Q4,2R,34448924,34474269,AGAP003250 AGAP003249 AGAP013487 AGAP003248 AGAP003247 AGAP003246 AGAP003245
111,BF-09_Houet_gamb_2012_Q3,2R,34449207,34474273,AGAP003250 AGAP003249 AGAP013487 AGAP003248 AGAP003247 AGAP003246 AGAP003245
112,BF-09_Houet_gamb_2014_Q3,2R,34481659,34508175,AGAP003257 AGAP003260 AGAP003259 AGAP003254 AGAP003258 AGAP003255 AGAP003256 AGAP003253
113,CM-ES_Haut-Nyong_gamb_2009_Q3,2R,40421507,40928308,AGAP003601 AGAP003602 AGAP003605 AGAP003608 AGAP003606 AGAP003613 AGAP003615 AGAP003616 AGAP003620 AGAP003621 AGAP003623 AGAP003624 AGAP013221 AGAP012946 AGAP003630 AGAP003631 AGAP003629 AGAP003626 AGAP003622 AGAP003614 AGAP003612 AGAP003635 AGAP003636 AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003632 AGAP003633 AGAP003642 AGAP003604 AGAP029099 AGAP029083 AGAP003619 AGAP003618 AGAP003603 AGAP029085 AGAP029064 AGAP029070 AGAP003610 AGAP029110 AGAP003627 AGAP003611 AGAP003607 AGAP003643 AGAP013432 AGAP013196
114,ML-2_Kati_gamb_2014_Q3,2R,40476121,40714943,AGAP003608 AGAP003613 AGAP003615 AGAP003616 AGAP003620 AGAP003621 AGAP003623 AGAP003624 AGAP013221 AGAP012946 AGAP003629 AGAP003626 AGAP003622 AGAP003614 AGAP003612 AGAP029099 AGAP029083 AGAP003619 AGAP003618 AGAP029085 AGAP029064 AGAP029070 AGAP003610 AGAP029110 AGAP003627 AGAP003611 AGAP013432 AGAP013196
115,ML-3_Yanfolila_gamb_2012_Q4,2R,40551490,41247761,AGAP003615 AGAP003616 AGAP003620 AGAP003621 AGAP003623 AGAP003624 AGAP013221 AGAP012946 AGAP003630 AGAP003631 AGAP003629 AGAP003626 AGAP003622 AGAP003635 AGAP003636 AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003646 AGAP003632 AGAP003633 AGAP003650 AGAP012992 AGAP003652 AGAP003655 AGAP003657 AGAP013502 AGAP013307 AGAP003642 AGAP003619 AGAP003618 AGAP029110 AGAP003627 AGAP003643 AGAP003651 AGAP013179 AGAP003656 AGAP003654 AGAP003648 AGAP003647 AGAP003649 AGAP003645
116,CD-NU_Gbadolite_gamb_2015_Q3,2R,40726845,41126401,AGAP003635 AGAP003636 AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003646 AGAP003632 AGAP003633 AGAP003650 AGAP012992 AGAP003652 AGAP003655 AGAP013502 AGAP013307 AGAP003642 AGAP003643 AGAP003651 AGAP003654 AGAP003648 AGAP003647 AGAP003649 AGAP003645
117,GH-EP_New-Juaben_gamb_2012_Q4,2R,40793574,40918530,AGAP003635 AGAP003636 AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003642
118,BF-09_Houet_gamb_2012_Q3,2R,40794832,41017997,AGAP003635 AGAP003636 AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003646 AGAP003650 AGAP013307 AGAP003642 AGAP003643 AGAP003648 AGAP003647 AGAP003649 AGAP003645
119,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2R,40816979,41524086,AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003646 AGAP003650 AGAP012992 AGAP003652 AGAP003655 AGAP003657 AGAP013502 AGAP003661 AGAP003663 AGAP013457 AGAP013358 AGAP003667 AGAP003664 AGAP003662 AGAP013323 AGAP013307 AGAP003658 AGAP003642 AGAP003665 AGAP003643 AGAP003651 AGAP013179 AGAP003656 AGAP003654 AGAP003648 AGAP003647 AGAP003660 AGAP003649 AGAP003666 AGAP003645 AGAP003669
120,BF-09_Houet_gamb_2014_Q3,2R,40835681,41099453,AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003646 AGAP003650 AGAP012992 AGAP003652 AGAP003655 AGAP013502 AGAP013307 AGAP003642 AGAP003643 AGAP003651 AGAP003654 AGAP003648 AGAP003647 AGAP003649 AGAP003645
121,GN-N_Macenta_gamb_2012_Q4,2R,40863320,41037357,AGAP003638 AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003646 AGAP003650 AGAP013307 AGAP003642 AGAP003643 AGAP003648 AGAP003647 AGAP003649 AGAP003645
122,UG-W_Kanungu_gamb_2012_Q4,2R,40870147,40932140,AGAP003639 AGAP003640 AGAP003641 AGAP003644 AGAP003642 AGAP003643
123,GN-F_Kissidougou_gamb_2012_Q4,2R,40888308,41043251,AGAP003641 AGAP003644 AGAP003646 AGAP003650 AGAP013307 AGAP003642 AGAP003643 AGAP003648 AGAP003647 AGAP003649 AGAP003645
124,CF-BGF_Bangui_gamb_1994_Q1,2R,45096396,45803500,AGAP003882 AGAP003883 AGAP003881 AGAP003884 AGAP003887 AGAP003889 AGAP003892 AGAP003894 AGAP003900 AGAP003899 AGAP003897 AGAP003895 AGAP003893 AGAP003891 AGAP003890 AGAP003886 AGAP003885 AGAP003903 AGAP003904 AGAP003906 AGAP013070 AGAP003902 AGAP003907 AGAP029082 AGAP003905 AGAP003901 AGAP029801 AGAP003898 AGAP013454 AGAP003880 AGAP003896
125,ML-3_Yanfolila_gamb_2012_Q4,2R,50049422,50756525,AGAP004109 AGAP004110 AGAP004114 AGAP004116 AGAP004113 AGAP004121 AGAP004123 AGAP004124 AGAP004125 AGAP004126 AGAP004128 AGAP004129 AGAP004127 AGAP004130 AGAP004131 AGAP004134 AGAP013195 AGAP004142 AGAP013209 AGAP004148 AGAP004146 AGAP004145 AGAP004139 AGAP004138 AGAP004137 AGAP004135 AGAP004133 AGAP004118 AGAP004111 AGAP004149 AGAP004141 AGAP012989 AGAP029684 AGAP004120 AGAP004143 AGAP013524 AGAP004147 AGAP013023 AGAP004140 AGAP012972 AGAP029683 AGAP004115 AGAP004117 AGAP004119 AGAP004136 AGAP004144 AGAP004122 AGAP004112 AGAP013081
126,GN-F_Kissidougou_gamb_2012_Q4,2R,50146731,50837153,AGAP004114 AGAP004116 AGAP004113 AGAP004121 AGAP004123 AGAP004124 AGAP004125 AGAP004126 AGAP004128 AGAP004129 AGAP004127 AGAP004130 AGAP004131 AGAP004134 AGAP013195 AGAP004142 AGAP013209 AGAP004148 AGAP004146 AGAP004145 AGAP004139 AGAP004138 AGAP004137 AGAP004135 AGAP004133 AGAP004153 AGAP004118 AGAP004149 AGAP004141 AGAP012989 AGAP029684 AGAP004120 AGAP004143 AGAP013524 AGAP004147 AGAP013023 AGAP004140 AGAP012972 AGAP004152 AGAP004150 AGAP029683 AGAP004115 AGAP004151 AGAP004117 AGAP004119 AGAP012977 AGAP004136 AGAP004144 AGAP004122
127,CD-NU_Gbadolite_gamb_2015_Q3,2R,50957691,51634330,AGAP004161 AGAP004163 AGAP004164 AGAP004165 AGAP004173 AGAP004174 AGAP013223 AGAP004177 AGAP004166 AGAP004171 AGAP004172 AGAP004175 AGAP004182 AGAP004179 AGAP004181 AGAP004183 AGAP004186 AGAP004184 AGAP004189 AGAP004170 AGAP004178 AGAP004176 AGAP004169 AGAP004188 AGAP004167 AGAP004162
128,UG-W_Kanungu_gamb_2012_Q4,2R,52583330,52762408,AGAP028271
129,GN-N_Macenta_gamb_2012_Q4,2R,55939556,56293068,AGAP004431 AGAP004435 AGAP004437 AGAP004443 AGAP004444 AGAP004442 AGAP004441 AGAP004439 AGAP004436 AGAP004438 AGAP004434 AGAP004433 AGAP004440 AGAP004446 AGAP012969 AGAP004432 AGAP013507
130,ML-2_Kangaba_gamb_2004_Q3,2R,56219897,56839403,AGAP004450 AGAP004451 AGAP004452 AGAP013542 AGAP004449 AGAP004453 AGAP004462 AGAP004464 AGAP004467 AGAP004470 AGAP004474 AGAP013052 AGAP004468 AGAP004466 AGAP004465 AGAP004463 AGAP004461 AGAP004460 AGAP004458 AGAP004457 AGAP004455 AGAP004475 AGAP004480 AGAP004484 AGAP004481 AGAP004478 AGAP004456 AGAP013238 AGAP004476 AGAP004459 AGAP004483 AGAP004485 AGAP004448 AGAP004471 AGAP029553 AGAP004477 AGAP004469 AGAP004479 AGAP004454 AGAP004447 AGAP013508
131,BF-09_Houet_gamb_2012_Q3,3L,14396741,14422876,AGAP029593 AGAP010975
132,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,3L,14399725,14426242,AGAP010978 AGAP029593 AGAP010975
133,CD-NU_Gbadolite_gamb_2015_Q3,3L,14400468,14426984,AGAP010978 AGAP029593 AGAP010975
134,ML-3_Yanfolila_gamb_2012_Q4,3L,14400485,14430234,AGAP029729 AGAP010978 AGAP029593 AGAP010975
135,GN-N_Macenta_gamb_2012_Q4,3L,14405349,14430565,AGAP029729 AGAP010978 AGAP029593
136,GN-F_Kissidougou_gamb_2012_Q4,3L,14408397,14434719,AGAP029729 AGAP010978 AGAP029730
137,CF-BGF_Bangui_gamb_1994_Q1,3L,14410259,14435825,AGAP029729 AGAP029727 AGAP010978 AGAP029730
138,GH-EP_New-Juaben_gamb_2012_Q4,3L,20154963,20330956,AGAP011256 AGAP011261 AGAP011260 AGAP011259 AGAP029736 AGAP029737 AGAP011255
139,ML-3_Yanfolila_gamb_2012_Q4,3L,23329454,23372976,AGAP011390
140,BF-09_Houet_gamb_2014_Q3,3L,23338753,23374290,AGAP011390
141,GN-F_Kissidougou_gamb_2012_Q4,3L,23343258,23379220,AGAP011390
142,GN-N_Macenta_gamb_2012_Q4,3L,23352858,23387253,
143,GH-EP_New-Juaben_gamb_2012_Q4,3L,25058896,25153646,AGAP011480
144,ML-3_Yanfolila_gamb_2012_Q4,3L,26891240,26921031,AGAP011534 AGAP029751 AGAP011535 AGAP011536
145,GN-N_Macenta_gamb_2012_Q4,3L,26894004,26920222,AGAP029751 AGAP011535 AGAP011536
146,CF-BGF_Bangui_gamb_1994_Q1,3L,26913168,26942248,AGAP028430 AGAP029752
147,CD-NU_Gbadolite_gamb_2015_Q3,3L,26913496,26940429,AGAP028430 AGAP029752
148,BF-09_Houet_gamb_2012_Q3,3L,26914445,26942435,AGAP028430 AGAP029752
149,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,3L,26915645,26940804,AGAP028430 AGAP029752
150,UG-W_Kanungu_gamb_2012_Q4,3L,26917165,26944829,AGAP011538 AGAP028430 AGAP029752
151,GN-F_Kissidougou_gamb_2012_Q4,3L,26917819,26944714,AGAP011538 AGAP028430 AGAP029752
152,BF-09_Houet_gamb_2014_Q3,3L,26918812,26945595,AGAP011538 AGAP028430 AGAP029752
153,CM-ES_Haut-Nyong_gamb_2009_Q3,3L,26932933,26962074,AGAP011540 AGAP011541 AGAP011539 AGAP011538
154,GH-EP_New-Juaben_gamb_2012_Q4,3L,38115496,38165201,AGAP012160 AGAP012159
155,BF-09_Houet_gamb_2014_Q3,3L,38251523,38300880,AGAP012167 AGAP012168 AGAP028632 AGAP029306
156,BF-09_Houet_gamb_2012_Q3,3R,4415236,4463288,
157,GN-N_Macenta_gamb_2012_Q4,3R,4457658,4516262,AGAP013728 AGAP008026
158,ML-3_Yanfolila_gamb_2012_Q4,3R,4478105,4592047,AGAP008027 AGAP013728 AGAP008030 AGAP008029 AGAP008026 AGAP008028
159,GN-F_Kissidougou_gamb_2012_Q4,3R,4588981,4746324,
160,BF-09_Houet_gamb_2014_Q3,3R,6913813,6945990,AGAP008214 AGAP008213 AGAP008209 AGAP008211 AGAP008210 AGAP008212
161,BF-09_Houet_gamb_2012_Q3,3R,6926043,6953600,AGAP008214 AGAP008213 AGAP008211 AGAP008212
162,BF-09_Houet_gamb_2012_Q3,3R,18686589,18755971,
163,GN-F_Kissidougou_gamb_2012_Q4,3R,18713137,18781866,
164,ML-3_Yanfolila_gamb_2012_Q4,3R,18781614,18835752,AGAP008824
165,BF-09_Houet_gamb_2014_Q3,3R,18790137,18848073,AGAP008824
166,GN-N_Macenta_gamb_2012_Q4,3R,18794743,18874454,AGAP008824
167,GN-N_Macenta_gamb_2012_Q4,3R,18794772,18873945,AGAP008824
168,CF-BGF_Bangui_gamb_1994_Q1,3R,18798405,18844608,AGAP008824
169,CD-NU_Gbadolite_gamb_2015_Q3,3R,18806491,18847901,AGAP008824
170,UG-E_Tororo_gamb_2012_Q4,3R,18809802,18906080,AGAP008824 AGAP008825
171,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,3R,18810481,18852870,AGAP008824
172,UG-W_Kanungu_gamb_2012_Q4,3R,18819620,18896796,
173,ML-2_Kati_gamb_2014_Q3,3R,18951772,19036286,
174,ML-2_Kati_gamb_2014_Q3,3R,28382487,28557098,AGAP009184
175,GN-N_Macenta_gamb_2012_Q4,3R,28456878,28547727,AGAP009184
176,CD-NU_Gbadolite_gamb_2015_Q3,3R,28469398,28618601,AGAP009198 AGAP009187 AGAP009191 AGAP009197 AGAP009193 AGAP009195 AGAP009192 AGAP009188 AGAP009194 AGAP009189 AGAP009185 AGAP009184 AGAP009190 AGAP009199 AGAP009196
177,ML-3_Yanfolila_gamb_2012_Q4,3R,28498960,28585578,AGAP009187 AGAP009188 AGAP009185
178,GN-F_Kissidougou_gamb_2012_Q4,3R,28502027,28596476,AGAP009187 AGAP009191 AGAP009192 AGAP009188 AGAP009189 AGAP009185 AGAP009190
179,BF-09_Houet_gamb_2012_Q3,3R,28502322,28599923,AGAP009187 AGAP009191 AGAP009193 AGAP009195 AGAP009192 AGAP009188 AGAP009194 AGAP009189 AGAP009185 AGAP009190
180,GH-EP_New-Juaben_gamb_2012_Q4,3R,28502323,28583308,AGAP009187 AGAP009188 AGAP009185
181,CF-BGF_Bangui_gamb_1994_Q1,3R,28504397,28644707,AGAP009198 AGAP009187 AGAP009191 AGAP009197 AGAP009193 AGAP009195 AGAP009192 AGAP009188 AGAP009194 AGAP009189 AGAP009185 AGAP009190 AGAP009199 AGAP009200 AGAP009196
182,CM-ES_Haut-Nyong_gamb_2009_Q3,3R,28531695,28610144,AGAP009187 AGAP009191 AGAP009197 AGAP009193 AGAP009195 AGAP009192 AGAP009188 AGAP009194 AGAP009189 AGAP009185 AGAP009190 AGAP009196
183,BF-09_Houet_gamb_2014_Q3,3R,28532658,28617885,AGAP009198 AGAP009187 AGAP009191 AGAP009197 AGAP009193 AGAP009195 AGAP009192 AGAP009188 AGAP009194 AGAP009189 AGAP009185 AGAP009190 AGAP009199 AGAP009196
184,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,3R,28541865,28659108,AGAP009198 AGAP009187 AGAP009191 AGAP009197 AGAP009193 AGAP009195 AGAP009192 AGAP009188 AGAP009194 AGAP009189 AGAP009202 AGAP009185 AGAP009201 AGAP009190 AGAP009199 AGAP009200 AGAP009196
185,UG-E_Tororo_gamb_2012_Q4,3R,28575162,28617675,AGAP009198 AGAP009191 AGAP009197 AGAP009193 AGAP009195 AGAP009192 AGAP009194 AGAP009189 AGAP009190 AGAP009199 AGAP009196
186,UG-W_Kanungu_gamb_2012_Q4,3R,28582793,28672756,AGAP009198 AGAP009191 AGAP009197 AGAP009193 AGAP009195 AGAP009192 AGAP009194 AGAP009202 AGAP009201 AGAP009190 AGAP009199 AGAP009200 AGAP029480 AGAP009196
187,ML-3_Yanfolila_gamb_2012_Q4,3R,31701076,31814511,AGAP009355 AGAP009366 AGAP009367 AGAP009362 AGAP009363 AGAP009357 AGAP009361 AGAP009360 AGAP009356 AGAP009352 AGAP009358 AGAP009359 AGAP009365 AGAP013718 AGAP013776 AGAP013734 AGAP013731 AGAP009354 AGAP028158 AGAP009353 AGAP029076 AGAP029094 AGAP029068 AGAP028222 AGAP013756 AGAP029081 AGAP029072 AGAP028039 AGAP029089 AGAP013714 AGAP029075 AGAP029071 AGAP029063 AGAP029090 AGAP029144 AGAP009364
188,BF-09_Houet_gamb_2012_Q3,3R,31720414,31804804,AGAP009355 AGAP009362 AGAP009363 AGAP009357 AGAP009361 AGAP009360 AGAP009356 AGAP009352 AGAP009358 AGAP009359 AGAP013718 AGAP013776 AGAP013734 AGAP013731 AGAP009354 AGAP028158 AGAP009353 AGAP029076 AGAP029094 AGAP029068 AGAP028222 AGAP013756 AGAP029081 AGAP029072 AGAP028039 AGAP029089 AGAP013714 AGAP029075 AGAP029071 AGAP029063 AGAP029090 AGAP029144 AGAP009364
189,UG-E_Tororo_gamb_2012_Q4,3R,32011272,32046022,AGAP009390 AGAP009391 AGAP009397 AGAP009393 AGAP009395 AGAP009394 AGAP009396 AGAP009392
190,UG-W_Kanungu_gamb_2012_Q4,3R,36519788,37226893,AGAP009580 AGAP009582 AGAP009583 AGAP009585 AGAP009592 AGAP009593 AGAP009605 AGAP009610 AGAP009612 AGAP009613 AGAP009614 AGAP009617 AGAP028570 AGAP009618 AGAP009616 AGAP009604 AGAP009607 AGAP009590 AGAP009625 AGAP029641 AGAP009611 AGAP009581 AGAP009608 AGAP009586 AGAP009591 AGAP029403 AGAP009603 AGAP009621 AGAP009622 AGAP009595 AGAP009624 AGAP009588 AGAP009620 AGAP009609 AGAP009600 AGAP009623 AGAP009594 AGAP009619 AGAP009589 AGAP009602 AGAP009599 AGAP029791 AGAP009601 AGAP029792 AGAP009584 AGAP029923 AGAP009615 AGAP009598 AGAP009587 AGAP029924
191,ML-2_Kati_gamb_2014_Q3,3R,40968190,41675296,AGAP009724 AGAP009723
192,GH-EP_New-Juaben_gamb_2012_Q4,3R,41076275,41783368,AGAP009724 AGAP009723
193,BF-09_Houet_gamb_2014_Q3,3R,41759876,42466983,AGAP009737 AGAP027993 AGAP028646 AGAP029049 AGAP009738 AGAP009744 AGAP009730 AGAP009733 AGAP009735 AGAP009745 AGAP009747 AGAP009734 AGAP009743 AGAP009739 AGAP029054 AGAP009736 AGAP009742 AGAP009741 AGAP009759 AGAP009740 AGAP009750 AGAP009756 AGAP009755 AGAP009758 AGAP009728 AGAP028645 AGAP009754 AGAP029558 AGAP009729 AGAP009746 AGAP009757 AGAP009751 AGAP009727
194,GN-N_Macenta_gamb_2012_Q4,3R,41972864,42679971,AGAP009737 AGAP027993 AGAP028646 AGAP028779 AGAP029049 AGAP009738 AGAP009744 AGAP009765 AGAP009763 AGAP009735 AGAP009769 AGAP009745 AGAP009747 AGAP009743 AGAP009739 AGAP029054 AGAP009736 AGAP009742 AGAP009768 AGAP009764 AGAP009741 AGAP009759 AGAP009740 AGAP009750 AGAP009756 AGAP009755 AGAP009758 AGAP028645 AGAP009754 AGAP029055 AGAP009766 AGAP009746 AGAP009757 AGAP009751
195,UG-E_Tororo_gamb_2012_Q4,3R,43873396,44018611,AGAP009828 AGAP009829
196,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,3R,52312210,54823192,AGAP010294 AGAP010301 AGAP010309 AGAP010308 AGAP010305 AGAP010304 AGAP010299 AGAP010303 AGAP010307 AGAP010298 AGAP010300 AGAP010297 AGAP010306 AGAP029400 AGAP010293 AGAP010302 AGAP010295 AGAP027986
197,GN-F_Kissidougou_gamb_2012_Q4,3R,52597881,54419302,AGAP010301 AGAP010309 AGAP010308 AGAP010305 AGAP010304 AGAP010299 AGAP010303 AGAP010307 AGAP010298 AGAP010300 AGAP010297 AGAP010306 AGAP010302 AGAP027986
198,GN-N_Macenta_gamb_2012_Q4,3R,52734006,54640174,AGAP010301 AGAP010309 AGAP010308 AGAP010305 AGAP010304 AGAP010299 AGAP010303 AGAP010307 AGAP010300 AGAP010306 AGAP010302 AGAP027986
199,CF-BGF_Bangui_gamb_1994_Q1,3R,53004909,54629249,AGAP010309 AGAP010308 AGAP010305 AGAP010307 AGAP010306 AGAP027986
200,BF-09_Houet_gamb_2014_Q3,3R,53108523,54224205,AGAP010309 AGAP027986
201,UG-W_Kanungu_gamb_2012_Q4,X,9141000,9170104,
202,BF-09_Houet_gamb_2014_Q3,X,9157421,9361426,AGAP000521 AGAP000519 AGAP000520
203,CF-BGF_Bangui_gamb_1994_Q1,X,9210452,9235831,
204,BF-09_Houet_gamb_2012_Q3,X,9210974,9246214,
205,BF-09_Houet_gamb_2012_Q3,X,9211001,9246187,
206,ML-2_Kangaba_gamb_2004_Q3,X,9214973,9241489,
207,GN-F_Kissidougou_gamb_2012_Q4,X,14999682,15205157,AGAP000817 AGAP000816 AGAP013474 AGAP013173 AGAP012997 AGAP029887 AGAP029884 AGAP029890 AGAP029888 AGAP013424 AGAP029892
208,GH-EP_New-Juaben_gamb_2012_Q4,X,15057208,15403805,AGAP000818 AGAP012997 AGAP000819 AGAP000823 AGAP000831 AGAP000832 AGAP000833 AGAP000821 AGAP000824 AGAP000820 AGAP000826 AGAP000825 AGAP000822 AGAP000830 AGAP000829 AGAP029884 AGAP029890 AGAP029888 AGAP013424
209,BF-09_Houet_gamb_2014_Q3,X,15066863,15250413,AGAP000818 AGAP012997 AGAP029884 AGAP029890 AGAP029888 AGAP013424
210,UG-W_Kanungu_gamb_2012_Q4,X,15077956,15516679,AGAP000818 AGAP012997 AGAP000819 AGAP000823 AGAP000831 AGAP000832 AGAP000834 AGAP000833 AGAP000821 AGAP013506 AGAP000824 AGAP000820 AGAP000835 AGAP000826 AGAP000825 AGAP000822 AGAP000830 AGAP028655 AGAP000829 AGAP029884 AGAP029890 AGAP029888 AGAP013424
211,BF-09_Houet_gamb_2012_Q3,X,15152890,15305608,AGAP000818 AGAP012997 AGAP000819 AGAP000820 AGAP029884 AGAP029890 AGAP029888
212,GN-N_Macenta_gamb_2012_Q4,X,15161317,15316825,AGAP000818 AGAP000819 AGAP000820 AGAP029884 AGAP029890 AGAP029888
213,ML-3_Yanfolila_gamb_2012_Q4,X,15179345,15330498,AGAP000818 AGAP000819 AGAP000821 AGAP000820 AGAP000822 AGAP029884 AGAP029890 AGAP029888
214,ML-2_Kati_gamb_2014_Q3,X,15196902,15357834,AGAP000818 AGAP000819 AGAP000823 AGAP000821 AGAP000824 AGAP000820 AGAP000826 AGAP000825 AGAP000822
215,UG-E_Tororo_gamb_2012_Q4,X,15283696,15464808,AGAP000823 AGAP000831 AGAP000832 AGAP000834 AGAP000833 AGAP000821 AGAP000824 AGAP000835 AGAP000826 AGAP000825 AGAP000822 AGAP000830 AGAP028655 AGAP000829
216,CD-NU_Gbadolite_gamb_2015_Q3,X,15349810,15551971,AGAP000831 AGAP000832 AGAP000834 AGAP000833 AGAP013506 AGAP000835 AGAP000840 AGAP000830 AGAP000841 AGAP028655 AGAP000829
217,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,X,15421109,15472386,AGAP000835 AGAP028655
218,CF-BGF_Bangui_gamb_1994_Q1,X,15427476,15475943,AGAP000835 AGAP028655
219,BF-09_Houet_gamb_2012_Q3,X,20499760,23324523,AGAP001051 AGAP001052 AGAP001053 AGAP001057 AGAP001056 AGAP001065 AGAP001069 AGAP001068 AGAP001064 AGAP001070 AGAP001072 AGAP001073 AGAP001076 AGAP028785 AGAP001048 AGAP013021 AGAP029435 AGAP001058 AGAP029434 AGAP029433 AGAP001067 AGAP001078 AGAP029886 AGAP001061 AGAP001050 AGAP001079
220,ML-3_Yanfolila_gamb_2012_Q4,X,20552409,23054237,AGAP001051 AGAP001052 AGAP001053 AGAP001057 AGAP001056 AGAP001065 AGAP001069 AGAP001068 AGAP001064 AGAP001070 AGAP001072 AGAP001073 AGAP001076 AGAP028785 AGAP001048 AGAP013021 AGAP029435 AGAP001058 AGAP029434 AGAP029433 AGAP001067 AGAP001061 AGAP001050
221,UG-W_Kanungu_gamb_2012_Q4,X,20615007,22477145,AGAP001051 AGAP001052 AGAP001053 AGAP001057 AGAP001056 AGAP001065 AGAP001068 AGAP001064 AGAP028785 AGAP013021 AGAP029435 AGAP001058 AGAP029434 AGAP029433 AGAP001067 AGAP001061 AGAP001050
